Continent,Union,Country,Name,Lift Operator,Phone,Email,no. of lift,Longitude,Latitude,WixID
Europe,EU,Austria,Aichelberglifts �E��E Karlstift (Bad GroÁEpertholz),Aichelberglift Karlstift Gesellschaft m.b.H.,"""+432816231""",office@karlstift.info,2,14.7513118,48.5961282,d81ba757-852c-4be5-b427-71dde341be44
Europe,EU,Germany,HochsträÁElifts �E��E Oberreute,HochsträÁElifte Oberreute,"""+4983873920120""",office@hochstraesslifte.de,3,9.9459316,47.5571468,6eab81e6-2da3-408f-aa52-4d332974bb53
Europe,EU,Austria,Dienten,Aberg-Hinterthal Bergbahnen AG,"""+43658473010""",office@hochkoenig-bergbahnen.at,33,13.0045375,47.3841071,70e89cc6-13d4-465e-9718-22e05e2a041a
Europe,EU,Austria,Hochkönig �E��E Maria Alm,Aberg-Hinterthal Bergbahnen AG,"""+43658473010""",office@hochkoenig-bergbahnen.at,33,12.9044489,47.4066216,0a8c8bc1-ca11-4870-8cf1-528a5babdbb9
Europe,EU,Austria,Mühlbach,Aberg-Hinterthal Bergbahnen AG,"""+43658473010""",office@hochkoenig-bergbahnen.at,33,13.1269692,47.3763278,5b6cf350-caa6-44b5-8cae-861e423a21d1
Europe,EU,Austria,Grünberg �E��E Obsteig,Skilift Grünberg Obsteig-GmbH & Co. KG,"""+43526481036""",office@gruenberglift.at,1,10.915121,47.2929349,6a29d5aa-3aad-49f2-b9c7-3fefee917229
Europe,EU,Austria,Glasenberg �E��E Maria Neustift,Verein zur Erhaltung des Schilift Glasenberg,"""+430720890111""",office@glasenberg.at,1,14.5852028,47.9462991,8a8aab53-05d6-41ba-b186-74044727086b
Europe,EU,Austria,Gerlitzen,Gerlitzen-Kanzelbahn-Touristik GmbH & Co. KG,"""+4342482722""",office@gerlitzen.com,15,13.9166667,46.6941667,5b737ec4-a832-4188-b056-c090fd206c11
Europe,EU,Austria,Gemeindealpe �E��E Mitterbach am Erlaufsee,Gemeindealpe - Mitterbach am Erlaufsee,"""+43388241720""",office@gemeindealpe.at,4,15.2695436,47.8107983,50e16cfd-d26b-4cda-93e3-72b995a585fa
Europe,EU,Austria,Galsterberg �E��E Pruggern,Galsterbergalm Bahnen GmbH & Co KG,"""+43368522845""",office@galsterberg.com,4,13.8639437,47.4114817,f11d8fa7-96b3-4069-93d6-74d59a6e19c3
Europe,EU,Austria,Forsteralm �E��E Waidhofen an der Ybbs,Forsteralm Skilifte GmbH,"""+437353346""",office@forsteralm.com,8,14.7597877,47.8957802,45c94872-ff08-4cc9-ac76-986ede1aa2a4
Europe,EU,Austria,Fanningberg,Fanningbergbahnen GmbH & Co KG,"""+4364737008""",office@fanningberg.info,5,13.6664158,47.1668227,0518a954-b27e-441b-b042-e412c53bd70b
Europe,EU,Austria,Bürgeralpe �E��E Mariazell,Mariazeller Bürgeralpe Seilbahnbetriebs GmbH,"""+4338822555""",office@buergeralpe.at,5,15.3286598,47.7867506,86d970c2-61ef-4f0b-8f8a-13a5e30a34be
Europe,EU,Austria,Werfenweng,Bergbahnen Werfenweng GmbH,"""+4364666140""",office@bergbahnen-werfenweng.com,9,13.2568035,47.4615959,dabf4991-acd6-44f6-b10c-8902a13a2a10
Europe,EU,Austria,Grosseck,Bergbahnen Lungau GmbH & Co KG,"""+4364728008""",office@bergbahnen-lungau.at,10,13.6817792,47.1337376,73b41eed-2ee7-43a9-a2c4-26355a803579
Europe,EU,Austria,Petersbründl �E��E St. Michael im Lungau,Bergbahnen Lungau GmbH & Co KG,"""+4364728008""",office@bergbahnen-lungau.at,1,13.62503,47.084855,62d2dad2-e3db-489d-b8fa-9b265c222be7
Europe,EU,Austria,Speiereck �E��E Mauterndorf,Bergbahnen Lungau GmbH & Co KG,"""+4364728008""",office@bergbahnen-lungau.at,10,13.6622247,47.1418734,a3a4d9b2-11c0-4b09-a47e-47f905fac841
Europe,EU,Austria,St. Michael,Bergbahnen Lungau GmbH & Co KG,"""+4364728008""",office@bergbahnen-lungau.at,10,13.6369194,47.0960691,aa43aff1-ef5a-42ce-9939-f25fb0d482c7
Europe,EU,Austria,Serfaus-Fiss-Ladis,Fisser Bergbahnen GmbH,"""+4354766396""",office@bergbahnen-fiss.at,39,10.6192154,47.0559711,bca0c07c-e360-4a89-91ea-6608c1638029
Europe,,Liechtenstein,Malbun,Bergbahnen Malbun AG,"""+4232654007""",office@bergbahnen.li,7,9.6096276,47.1015157,35d366d8-b225-4886-8970-2f34ef3821c5
Europe,EU,Romania,Harghita BāEi,Balu Park,"""+40755202201""",office@balupark.com,5,25.6320879,46.3793397,15657c2a-12b0-40df-b1a2-2e6288cf75a6
Europe,EU,Austria,Axamer Lizum,Axamer Lizum Aufschliessungs AG,"""+43523468240""",office@axamer-lizum.at,10,11.30265,47.19569,ad3cbd32-f4bc-4a8d-8d77-e0c5491e9c2b
Europe,EU,Austria,Arralifts �E��E Harmanschlag (St. Martin),Arra Lifte Harmanschlag GesmbH,"""+43285725000""",office@arralifte.at,2,14.786427,48.65303,d582df1f-dedf-4d5a-ab4e-0d3b856add49
Europe,EU,Romania,Poiana BraȁEov,Ana Teleferic,"""+40268407342""",office@anateleferic.ro,10,25.5513291,45.5955044,4909c311-7627-405e-bebd-91bb9dc5a084
Europe,EU,Austria,Hochhäderich �E��E Hittisau,Alpenarena Hochhäderich,"""+43551382540""",office@alpenarena.com,5,9.9881172,47.48789,120e3963-32a6-4e3f-8b76-2fa8d5753e4c
Europe,EU,Austria,Bürgeralm �E��E Aflenz,Naturerlebnis Bürgeralm GmbH & Co KG,"""+43386122518""",office@aflenzer-buergeralm.at,4,15.230464,47.5701438,eb83f725-28fd-4eb3-9983-305d60a73c64
Europe,EU,Austria,Lech,Arlberger Bergbahnen,"""+43544623520""",office@abbag.com,88,10.1439399,47.2111926,4d61177f-2ecf-4b43-928e-7a41cb734067
Europe,EU,Austria,Schröcken �E��E Ski Arlberg,Arlberger Bergbahnen,"""+43544623520""",office@abbag.com,88,10.2130903,47.1574749,fd287aef-0b89-40f0-9df4-88e9b906176f
Europe,EU,Austria,St. Anton,Arlberger Bergbahnen,"""+43544623520""",office@abbag.com,88,10.2681786,47.1296346,6f5c444c-8e31-43b0-b4b5-8116882a48a0
Europe,EU,Austria,St. Christoph,Arlberger Bergbahnen,"""+43544623520""",office@abbag.com,88,10.2117,47.12869,b925d3c7-f4c0-4451-9060-52a187ed81fb
Europe,EU,Austria,Stuben,Arlberger Bergbahnen,"""+43544623520""",office@abbag.com,88,10.15805,47.13963,b3e8d9f7-7e5a-4443-89af-19e0f37c877b
Europe,EU,Austria,Warth,Arlberger Bergbahnen,"""+43544623520""",office@abbag.com,88,10.18348,47.25759,da1dd1eb-a0e1-4062-8fd9-0f29fac86bb0
Europe,EU,Austria,Zürs,Arlberger Bergbahnen,"""+43544623520""",office@abbag.com,88,10.16288,47.17134,5e57899b-b7c6-4871-8828-30b192716ce6
Europe,EU,Czech Republic,ZviāEina,"Ski Arlberg, Pool West","""+43558328240""",office@abbag.com,3,15.6875757,50.4556455,88f7d487-584b-4bc5-a5d8-5d6f63d10f28
Europe,EU,France,Ancelle,Régie des Remontées Mécaniques d'Ancelle,"""+33492508305""",office.tourisme@ancelle.fr,13,6.205691,44.623591,0240f3cb-0b91-40b6-941b-9f3df06e340c
Europe,EU,France,La Goule,"Office du Tourisme des Plateaux Maiche, Le Russey","""+33381641188""",office.de.tourisme.maiche@wanadoo.fr,2,-0.518978,45.9410839,ae1e0634-ff6e-4103-82ae-a19cc8c02b06
Europe,EU,France,Mont Miroir �E��E Maîche,"Office du Tourisme des Plateaux Maiche, Le Russey","""+33381641188""",office.de.tourisme.maiche@wanadoo.fr,2,6.8108757,47.2494812,40d8389a-e634-470c-8879-faf599430df9
Europe,EU,Austria,ÁEtscher �E��E Lackenhof (Gaming),ÁEtscherlift-Gesellschaft m.b.H.,"""+4374805354""",oetscher@skisport.com,6,15.2024638,47.8614921,0382294a-20c2-4f7e-912b-879689c28965
Europe,EU,Slovakia,Dobšinská Maša,Ski Centrum Dobšinská Maša,,ocu.dedinky@gmail.com,1,20.3717133,48.859027,e93a468a-1843-429a-9551-26b6c53f1ce3
North America,,Canada,Osler Bluff Ski Club,Osler Bluff Ski Club Ltd.,"""+17054454507""",obsc@oslerbluff.com,4,-80.2808412,44.4619499,cde3a601-c17d-4641-ad1e-8893541633ff
Europe,EU,Italy,Latemar �E��E Obereggen,Incremento Turistico Alpe di Pampeago - I.T.A.P. S.p.A.,"""+390462813265""",obereggen@latemar.it,18,11.5267116,46.3850094,7e8dbadf-07c5-4195-9001-f8a03a27f7d0
Europe,EU,Italy,Nova Ponente (Deutschnofen),Obereggen AG,"""+390471618200""",obereggen@latemar.it,1,11.4655954,46.3943286,1cdd4680-71d3-492a-a42c-d4d9ab39b21a
Europe,EU,Italy,Pampeago,Incremento Turistico Alpe di Pampeago - I.T.A.P. S.p.A.,"""+390462813265""",obereggen@latemar.it,18,11.5388294,46.3419835,664662b8-43c4-413d-bc95-2408f3d9f7bb
Europe,EU,Italy,Petersberg (Monte S. Pietro) �E��E Nova Ponente (Deutschnofen),Obereggen AG,"""+390471618200""",obereggen@latemar.it,1,11.3957612,46.396633,e3b44c33-3f2a-4c95-94bd-e9f13c4d3aad
Europe,EU,Italy,Predazzo,Incremento Turistico Alpe di Pampeago - I.T.A.P. S.p.A.,"""+390462813265""",obereggen@latemar.it,18,11.602437,46.312589,20fa402c-6096-401b-b17d-e122c4b880e7
Europe,EU,Slovakia,Serafínov (Skalité),Ski areál Skalité-Serafínov,"""+421414376221""",obecskalprev@mail.t-com.sk,4,18.96438,49.50172,812ef877-4d64-46d8-95b3-d8c0b32bd16c
Europe,EU,Slovakia,Chlmec Skipark,"B&B brothers, s.r.o.","""+421915928040""",o.barinka@post.sk,5,-122.203502,41.321106,9e0a1fb3-6913-4c04-883a-0db7f944f9a0
Europe,EU,Germany,Kegelberg �E��E Erlbach,WSV Erlbach e.V.,"""+49374226225""",nwsv@aol.com,3,12.3805613,50.313684,d00790a1-e1f5-4476-b02f-67d70fb8f1ee
Europe,,Switzerland,St. Cergue,Société des remontées mécaniques St-Cergue - La Dôle,"""+41229942840""",nstcm@tprnov.ch,3,6.1581382,46.4460412,90fb3bd4-1624-40df-aa7a-3c63d1f7e53d
Asia,,Japan,Awasuno,Awasuno Ski,"""+814821844""",npoawasuno@yahoo.co.jp,2,137.4399459,36.578026,278ac608-b5d4-453d-abe9-054572ae32e4
Europe,EU,Czech Republic,Novako �E��E Boží Dar,LyžaŁEský areál Novako,"""+420353815000""",novako@novako-ski.cz,2,12.924153,50.411565,38712662-168c-4595-9d36-89f6ee80ff9c
,,USA,Northstar California Resort,Northstar California Resort,"""+15305621010""",northstarlodging@vailresorts.com,14,-120.1210934,39.2745678,ac7527a8-de65-4543-8e90-d7700e95fe26
Europe,EU,France,Le Désert d'Entremont,Espace nordique de la vallée des Entremonts,"""+33479658472""",nordique.entremonts@gmail.com,4,5.8638595,45.4661955,7363ef65-613b-4ca0-abee-60b923604387
Europe,EU,Italy,Ruffrè �E��E Monte Nock,Altipiani Val di Non S.p.A. - Monte Nock,"""+390471632159""",Nock@AltipianiValdiNon.it,1,11.1788422,46.4216185,befa993e-6302-415a-ac14-9799869cc3ab
Asia,,Japan,Grand Hirafu,"Chuo Bus Kanko Shoji Co,Ltd","""+81136582080""",niseko@niseko-village.com,32,140.6968661,42.8639462,d38a3beb-155b-405c-ad07-381c93ec4fc4
Asia,,Japan,Hanazono,"Chuo Bus Kanko Shoji Co,Ltd","""+81136582080""",niseko@niseko-village.com,32,140.6998015,42.8931887,8775cdd2-7a7a-43f1-bed6-7251d30d5b0d
Asia,,Japan,Niseko United,"Chuo Bus Kanko Shoji Co,Ltd","""+81136582080""",niseko@niseko-village.com,32,140.647951,42.847472,0feee650-847f-4fe2-8ce2-425e391e87ab
Asia,,Japan,Niseko Village,"Chuo Bus Kanko Shoji Co,Ltd","""+81136582080""",niseko@niseko-village.com,32,140.6874931,42.8047045,c6bdf5c1-006e-4a9d-b278-cc96980e9062
Europe,EU,Austria,Niederthai (Umhausen),Niederthaier Schilift GmbH,"""+435255523015""",niederthai@umhausen.gv.at,4,10.9692,47.12606,6cb6132c-2442-460c-8949-46c027f1039b
Asia,,China,Sun Mountain �E��E Yabuli,Shangzhi Yabuli Sunshine Resort,"""+8645153458888""",nianwei.sun@mountainchinaresorts.com,8,128.447649,44.780865,cd284827-6fe7-42f2-8218-f629ddfca78f
,,USA,Northeast Slopes �E��E East Corinth,NORTHEAST SLOPES,"""+18024395789""",nes@northeastslopes.org,3,-72.2504925,44.0726057,9c0a2d24-6664-4453-933f-664ac7f039fd
Europe,,Serbia,Mitrovac (Tara),Mitrovac-Tara,"""+381606560141""",nenaddjokic@tara-planina.com,3,19.4239117,43.9216535,3c645985-bef0-4292-a88c-9e25d624c501
,,USA,Navarino Hills,Navarino Hills,"""+19205255501""",navarinohills@hotmail.com,4,-88.5854796,44.610385,346e2784-9298-4379-9721-7e93bf40c7a8
Europe,EU,Poland,Dwie Doliny �E��E Wierchomla MaŁEa,Dwie Doliny Muszyna-Wierchomla Sp. z o.o.,"""+48184143264""",narty@wierchomla.com.pl,10,20.822854,49.429183,57a75cce-ed98-4482-b719-8b5e32a178eb
Europe,EU,Poland,Muszyna),Dwie Doliny Muszyna-Wierchomla Sp. z o.o.,"""+48184143264""",narty@wierchomla.com.pl,10,20.8971615,49.3565901,65a04673-bea0-4513-ad06-37d263b851aa
Europe,EU,Poland,Szczawnik (Piwniczna-Zdrój,Dwie Doliny Muszyna-Wierchomla Sp. z o.o.,"""+48184143264""",narty@wierchomla.com.pl,10,20.8672514,49.380528,64c0411f-845f-4bfd-a861-16d5af6c9750
Europe,EU,Poland,MyŁElenice,Stacja Narciarska MyŁElenice,"""+48500300914""",narty@myslenice.pl,3,19.93965,49.83347,6c55687f-879d-4389-a444-db238e463f2a
Europe,EU,Poland,Jacnia,Stok Narciarski w Jacni,"""+48513759592""",narty@jacnia.pl,2,23.172833,50.573963,fe4ee7a7-486c-40cf-96f9-249fd0580def
Europe,EU,France,Romme �E��E Nancy-sur-Cluses,Régie Communale der Remontées Mécaniques de Nancy-sur-Cluses,"""+33450909490""",nancysurcluses.tourisme@orange.fr,4,6.573318,46.029614,0c658bca-9145-4db0-88a7-becb72af197d
Asia,,Japan,Hakodate Nanae,Hakodate Nanae Snowpark,"""+81138673355""",nanae@gl-net.ne.jp,3,140.6942803,41.8957197,45318143-9654-4aa7-bc14-a0652d07ed8a
Europe,EU,Finland,Suomu,Suomun Rinteet,"""+358207199121""",myynti@suomutunturi.fi,5,28.0166667,66.55,075c9cae-dfd3-4e9c-b0ee-0cf88e349e36
,,USA,Winter Park �E��E Kewaunee County,Winter Park �E��E Kewaunee County,"""+19203880444""",myersd@kewauneeco.org,1,-87.559558,44.459461,77886b73-92c8-483c-a424-8cf892961d8d
Europe,EU,Finland,Mustavaara,Mustavaara Oy / Joni Kakkonen,"""+35813719890""",mustavaara@kolumbus.fi,3,30.131181,62.617155,9061db45-e126-498d-b01a-fa581a583dfd
North America,,Canada,Mount Evergreen �E��E Kenora,Mt. Evergreen Ski Club,"""+18075485100""",mtevergreen@kmts.ca,2,-94.412303,49.7957115,610d71ad-8fce-4593-8cc9-221c5374dcf5
,,USA,Mt. Brighton,Mt. Brighton Ski Resort,"""+18102299581""",mtbrightoninfo@vailresorts.com,10,-83.8115528,42.5407834,2d1f228f-392e-4e75-a29a-36228e4abacc
North America,,Canada,Mount St. Louis �E��E Moonstone,Mount St. Louis Moonstone,"""+17058352112""",mslm@mslm.on.ca,9,-79.6669872,44.6231718,1cd40e58-cec9-41aa-bf3f-858253d6b4c8
Europe,,Switzerland,Jakobshorn (Davos Klosters),Davos Klosters Bergbahnen AG,"""+41814176222""",mountains@davosklosters.ch,11,9.8493222,46.772448,fd77415e-9d86-4f5a-906a-202dff2d6488
Europe,,Switzerland,Parsenn (Davos Klosters),Davos Klosters Bergbahnen AG,"""+41814176222""",mountains@davosklosters.ch,18,9.84462,46.8580182,0ed3fc5a-4399-4cf3-8281-3be3a47f0a9b
Europe,,Switzerland,Rinerhorn (Davos Klosters),Davos Klosters Bergbahnen AG,"""+41814176222""",mountains@davosklosters.ch,7,9.8141655,46.7393702,1dba52d9-3464-4096-9bd6-5db9322af5b7
Europe,EU,France,La Bonade �E��E Grand Combe Chateleu (Val de Morteau),Mairie de Morteau,"""+33381685656""",morteau@morteau.org,2,6.5674883,47.0173531,c12e08e1-6262-4fd1-93f9-dbb76c9ee546
Europe,EU,France,Meix-Musy �E��E Pierre à Feu (Val de Morteau),Mairie de Morteau,"""+33381685656""",morteau@morteau.org,4,6.672731,47.0343639,c3d95b8c-fb1a-44d0-be4b-3bd01034206f
,,USA,Mont Ripley,Mont Ripley,"""+19064872340""",montripley@mtu.edu,4,-88.560052,47.127847,17e98519-3c36-4c63-9693-94ffe70303ca
Europe,EU,France,Bleymard Mont Lozère,SELO Lozère,"""+33466486648""",montlo@wanadoo.fr,5,3.7431866,44.4528491,fa9d200a-ce97-4ff0-a082-929799ec037a
Europe,EU,France,La Cernay Blanche �E��E La Chaux de Gilley,Station de la Chaux de Gilley,"""+33381433570""",montbenoit.tourisme@wanadoo.fr,2,6.4317652,47.0187778,394973ef-aea1-4523-b595-9d8991ccd455
Europe,EU,Czech Republic,Benecko,Skiareál Benecko,"""+420481582606""",moje@benecko.info,13,15.5481721,50.6663334,048c89a8-1ed6-4f55-9e4b-79f7a05d185f
Europe,EU,Austria,Hochwechsellifts �E��E Mönichwald,Hochwechsellifte Mönichwald,"""+4333364211""",moenichwald@schiregion.at,4,15.879423,47.478208,3f678568-b5b6-4df6-bf69-d957a5080701
Europe,EU,Greece,Verno �E��E Florina,Vigla Pisoderi/Verno,"""+302385045928""",modesteios@vigla-ski.gr,5,21.385556,40.649167,745d51d9-d3c2-40ae-a267-240d93efd528
Europe,EU,Greece,Vigla Pisoderi,Vigla Pisoderi/Verno,"""+302385045928""",modesteios@vigla-ski.gr,5,21.2481307,40.7862908,d85dfba3-4ed1-463d-adcc-61ecfda6de89
Europe,EU,Poland,ŁEnieżka �E��E Karpacz,Miejska Kolej Linowa,"""+48757619284""",mkl@kopa.com.pl,8,15.7399457,50.7360171,c7bdeb64-1466-4e46-8e65-28808850c9f2
Europe,EU,Germany,Petersthal �E��E Oy-Mittelberg,Familienlift Petersthal,"""+498376201""",mitschke-reinigungstechnik@web.de,1,10.386598,47.634893,ee699af8-32ff-46c5-beb4-5259b7ae9555
Europe,EU,Czech Republic,Merklín,Ski areál Merklín s.r.o.,"""+420606921639""",misska.fricova@seznam.cz,1,12.863513,50.3280905,dcedda08-7d8d-4c9f-85ba-2f8b3752fd1a
Europe,,Switzerland,Mugi �E��E Netstal,Interessengemeinschaft Skilift Mugi Netstal,,mischa.marty@crh-sd.ch,2,9.0587859,47.0604165,13dca256-9955-4cdd-8b53-14a754aeb338
Europe,EU,Finland,Mielakka,Mielakan Slope Center,"""+358409000679""",mielakka@mielakka.com,3,26.7580341,60.8669673,acb1b940-0744-4b9b-be9e-39c0677495ee
Europe,EU,Germany,Mauersberg (GroÁErückerswalde),SG Mauersberg e.V.,,micha@sg-mauersberg.de,1,13.0895171,50.6059177,05de8a65-9393-4447-b6ae-22af5218ae8e
Oceania,,Australia,Mount Hotham,Hotham Skiing Company,"""+61357594444""",mhsc@hotham.com.au,12,147.1327778,-36.9752778,4dbd5bf6-dc2b-4813-8e84-5fcc4793d43c
,,USA,Haystack Mountain �E��E The Hermitage Club,The Hermitage Club,"""+18024647734""",memberservices@hermitageclub.com,5,-72.8947984,42.9223962,ae208e77-fc65-4093-8a95-2eb05fcb3cdd
Europe,EU,Poland,Szus �E��E Koniaków,Stacja Narciarska Szus w Konakowie,"""+48516858906""",medzeler@tlen.pl,1,18.9271259,49.5498135,6c85df70-db2d-4bed-bcc8-1463010f5bb0
Europe,EU,Germany,Gerichtsberg �E��E Gelenau,"Gelenauer Wintersportvereins e.V.""Am Gerichtsberg""",,matthias.bauer@skiverein-gelenau.de,1,12.9727332,50.7082365,1bb4f05e-7204-45ab-a7f4-a9578674ec83
Europe,,Switzerland,Breuil-Cervinia,Cervino S.p.A.,"""+390166944311""",matterhornparadise@zermatt.ch,53,7.6292065,45.9335668,7dd95795-b76d-44ab-a869-5b855fc5bffd
Europe,,Switzerland,Valtournenche �E��E Matterhorn,Cervino S.p.A.,"""+390166944311""",matterhornparadise@zermatt.ch,53,7.6584519,45.976575,099fc31f-6ba3-4687-b9ca-a97d30c53e58
Europe,,Switzerland,Zermatt,Cervino S.p.A.,"""+390166944311""",matterhornparadise@zermatt.ch,53,7.749117,46.0207133,929a47ff-272b-49af-9034-03812b1bf42a
Asia,,Japan,Matsudai,Tokamachi Matsudai Familien-Skigebiet,"""+81255973330""",matsudaiski@yahoo.co.jp,2,138.6069015,37.132717,d5f67557-9d1e-4155-805b-43699612c1f0
Europe,EU,Spain,La Molina,Estació de Masella,"""+34972144000""",masella@masella.com,27,1.9350294,42.3376256,8be0c215-f4a1-41b3-8d0d-cc1a53239c68
Europe,EU,Spain,Masella �E��E Alp2500,Estació de Masella,"""+34972144000""",masella@masella.com,27,1.900496,42.3495747,050eecde-64c7-4b2f-8d72-75afc7f09432
Europe,EU,Slovakia,Makovica �E��E Nižná Polianka,ski/sun area Makovica,"""+421903618042""",marysa@makovica.sk,1,21.394672,49.399077,5bfa1042-deb2-4aac-b68c-2e55b05550c0
,,USA,Sleepy Hollow Sports Park �E��E Des Moines,Sleepy Hollow Sports Park,"""+15152624100""",mary@sleepyhollowsportspark.com,2,-93.5334509,41.5892586,1faebae8-96a6-4de6-9c7f-1c8ed70e0e58
Europe,EU,Germany,Langmattlift �E��E Aftersteg (Todtnau),Skiliftgesellschaft Aftersteg GbR,"""+49767195299""",markus-albrecht1@gmx.de,1,7.922998,47.843406,71d8a49b-0b0b-4860-acd8-c2d2bfed4fbe
Europe,EU,Austria,Millrütte �E��E Götzis,Marktgemeinde Götzis,"""+4355235986""",marktgemeinde@goetzis.at,3,9.701648,47.3431462,5dee6c4b-eb0b-441e-9118-351f90daeeaf
Europe,EU,Germany,Schlossberglift �E��E Wurmannsquick,Schlossberglift Wurmannsquick,"""+498725286""",markt@wurmannsquick.de,1,12.7765186,48.3603057,a4ebab30-e214-45a5-b022-5b1a4c2a7b30
Europe,EU,Germany,Kapellenberg (St. Englmar),Skilift Kapellenberg,"""+491718301277""",markl@skilift-kapellenberg.de,1,12.8195104,49.0041318,68513c50-ddd1-4d85-96c0-fe4f9a596d9d
Europe,,Bosnia and Herzegovina,Babin Do �E��E Bjelašnica,KJP ZOI'84 OCS DOO,"""+38733212035""",marketing@zoi84.ba,8,18.2566667,43.7041667,d379944b-6271-4ee3-880d-0aab557ee7c5
Europe,EU,Germany,Wurmberg �E��E Braunlage,Wurmbergseilbahn GmbH & Co. KG,"""+49552099930""",marketing@wurmberg-seilbahn.de,7,10.6180779,51.7570345,b55be96b-543d-4fe9-9aad-379bf9a55b6f
,,USA,Wolf Ridge,Wolf Ridge Ski Resort,"""+18286894111""",marketing@skiwolfridgenc.com,3,-82.9359697,35.1653788,ef1ae54e-3e72-45d8-80ac-60006427e645
,,USA,Monarch,Monarch Mountain Colorado Ski Resort,"""+17195305000""",marketing@skimonarch.com,5,-80.49884,34.985077,36709c82-eeb6-453d-b2ff-764bec1928bc
Europe,EU,Bulgaria,Mechi Chal �E��E Chepelare,Pamporovo Resort,"""+35930958417""",marketing@pamporovoresort.com,3,24.664355,41.6920324,db480a74-2f7c-4622-ad78-61020bdac3f8
Europe,EU,Bulgaria,Pamporovo,Pamporovo Resort,"""+35930958417""",marketing@pamporovoresort.com,13,24.6953599,41.6567751,37e0cd69-c450-4812-885c-787aca7f58cd
Europe,,Switzerland,Crans-Montana,CMA SA,"""+41274858910""",marketing@mycma.ch,19,7.498439,46.3425654,9b8a23af-5fff-4e74-a5bf-12c387432623
Europe,EU,Finland,Himos,Hiihtokeskus Himosvuori Oy,"""+358207119100""",marketing@himos.fi,14,25.2994259,61.8795212,fb5c4ffd-357c-4972-b6cd-ccbb47769617
,,USA,Deer Valley,Deer Valley Resort,"""+104356491000""",marketing@deervalley.com,21,-111.47635,40.644244,78d7c090-9cc0-46a2-8c5c-6e5bf350dd2b
Europe,EU,Czech Republic,Mariánky �E��E Mariánské Lázne,Skiareál Mariánky,"""+420737222456""",marianky@snowhill.cz,3,12.7131806,49.973879,f34f662f-9310-434d-9620-ffaf63fa7f2e
North America,,Canada,Georgian Peaks Club,Georgian Peaks Club,"""+18004619723""",marg@georgianpeaks.com,5,-80.3788678,44.5350638,f818dc35-12a7-42e7-b716-148232cb2d6f
Europe,EU,Czech Republic,Buková hora �E��E āEenkovice,Ski Resort Buková hora,"""+420724290022""",marek.toman@skibukovka.cz,8,16.7094444,50.0097222,f3bcef76-4ed7-49a2-b5f0-0fd1959ca8d2
Europe,EU,Czech Republic,āEervená Voda,Ski Resort Buková hora,"""+420724290022""",marek.toman@skibukovka.cz,8,16.7426871,50.0402889,4227f852-9fe6-40b6-8c0d-31052ad7ed02
Europe,EU,Germany,Truchtelfingen (Albstadt),Ski-Club Truchtelfingen e.V.,"""+491737209162""",marco.weber@sc-truchtelfingen.de,1,9.0278504,48.2392827,f6150a19-6cd3-46eb-8dd1-b9a1a1b6f61f
Europe,EU,United Kingdom,Bromley Ski and Snowboard Centre (dry slopes),Bromley Ski and Snowboard Centre,"""+441689876812""",management@bromleyski.co.uk,2,0.1245481,51.4087075,704399b0-d73b-4017-92be-537add27d7a9
Europe,EU,France,Le Manon,Mairie de Septmocel,"""+33384416517""",mairie-septmoncel@wanadoo.fr,3,-72.9463685,45.6242985,b685c707-2418-4b3f-b2fc-f6ea1cd5d8ce
Europe,EU,France,Les Moussières,Mairie des Moussières,"""+33384416732""",mairie-moussieres@orange.fr,3,5.88903,46.327034,f08eeacc-dbf3-4a94-81e0-5c9f8eb18574
Europe,EU,France,Les Rafforts �E��E Héry sur Ugine,Mairie d'Ugine,"""+33479373300""",mairie@ugine.com,2,6.480112,45.787743,00596fa0-e45e-4c40-b554-35242c547063
Europe,EU,France,Ghisoni,Station de ski Ghisoni Capanelle,"""+33495576128""",mairie.ghisoni@wanadoo.fr,3,9.213772,42.103512,87d98c91-41af-4859-bb3a-477610a2e75a
Europe,EU,France,Foncine le Haut,Mairie de Foncine le Haut,"""+33384519077""",mairie.foncinelehaut@wanadoo.fr,3,6.0731659,46.658353,e6d008bc-008c-417c-87ba-07b1ad2050d7
Europe,,Switzerland,Wirzweli �E��E Dallenwil,Erlebnisluftseilbahn Dallenwil-Wirzweli AG,"""+41416282394""",mail@wirzweli.ch,7,8.3617958,46.9117907,7fdfe337-c4d5-475f-b8a9-76d54e6f343f
Europe,EU,Germany,Rehefeld-Zaunhaus,Winterwelt Rehefeld,"""+493505750001""",mail@winterwelt-rehefeld.de,2,13.7043344,50.7283682,1caa100c-213d-45f6-aa84-17efa3cd6bed
Europe,,Bosnia and Herzegovina,VlašiāE,VlašiāE,,mail@vlasic.ba,6,17.6663889,44.3027778,47155316-0623-48d0-9758-b3381fe11665
,,Central Russia,Sorochany �E��E Kurovo,"LLC ""Liga der Kultur und Sport""","""+74957888544""",mail@sorochany.ru,8,37.563156,56.275696,b63f550e-8ecc-4876-a6ac-95d3058549e0
Europe,EU,Germany,Muggenbrunn,Skiliftgesellschaft Muggenbrunn GmbH,"""+4976711635""",mail@skizentrum-muggenbrunn.de,7,7.919088,47.856481,47ab53f3-1314-4487-b49f-51830bdc6c65
